route_id,route_short_name,route_long_name,service_period,avg_headway_min,median_headway_min,p90_headway_min,headway_observations
302,302,Philip Pocock SS,AM peak,,,,0
302,302,Philip Pocock SS,midday,7.0,7.0,7.0,1
302,302,Philip Pocock SS,PM peak,,,,0
302,302,Philip Pocock SS,evening,,,,0
302,302,Philip Pocock SS,late night,,,,0
302,302,Philip Pocock SS,other,,,,0
302,302,Philip Pocock SS,unknown,,,,0
315,315,Rick Hansen SS,early morning,,,,0
315,315,Rick Hansen SS,AM peak,,,,0
315,315,Rick Hansen SS,midday,,,,0
315,315,Rick Hansen SS,PM peak,4.0,4.0,4.0,1
315,315,Rick Hansen SS,evening,,,,0
315,315,Rick Hansen SS,late night,,,,0
315,315,Rick Hansen SS,other,,,,0
315,315,Rick Hansen SS,unknown,,,,0
321,321,Stephen Lewis SS,early morning,,,,0
321,321,Stephen Lewis SS,AM peak,33.0,33.0,33.0,1
321,321,Stephen Lewis SS,midday,1.0,1.0,1.0,1
321,321,Stephen Lewis SS,PM peak,46.0,46.0,46.0,1
321,321,Stephen Lewis SS,evening,,,,0
321,321,Stephen Lewis SS,late night,,,,0
321,321,Stephen Lewis SS,other,,,,0
321,321,Stephen Lewis SS,unknown,,,,0
